,Query,Start_Time
0,I want to move to California,2019-04-15 04:17:20 UTC
1,I want to travel to the Philippines,2019-04-14 23:37:56 UTC
2,I feel lonely,2019-04-14 23:54:56 UTC
3,I want to move to Japan,2019-04-15 00:51:27 UTC
4,Why am I so fat?,2019-04-14 23:37:05 UTC
5,I want to go to law school,2019-04-14 23:47:38 UTC
6,I need a date this weekend,2019-04-14 23:44:39 UTC
7,I want to go to the Philippines,2019-04-14 23:40:24 UTC
8,I want to kayak around Greenland,2019-04-15 00:37:01 UTC
9,I am moving to California,2019-04-15 04:16:22 UTC
10,I want to lose 20 pounds.,2019-04-15 00:54:20 UTC
11,New Zealand is amazing,2019-04-15 00:53:28 UTC
12,I am addicted to pizza,2019-04-14 23:52:43 UTC
13,I am so bored,2019-04-14 23:18:39 UTC
14,I want to gain muscle,2019-04-15 04:06:08 UTC
15,I hate smelly feet,2019-04-15 00:00:52 UTC
16,Motley Works is the best,2019-04-14 23:32:06 UTC
17,I am single AF,2019-04-14 23:45:43 UTC
18,I don't know how to love,2019-04-14 23:57:05 UTC
19,I want to go on a world tour,2019-04-15 00:33:33 UTC
20,Thailand is home,2019-04-14 23:42:56 UTC
21,I want to live in Japan,2019-04-15 00:49:29 UTC
22,I need to stop eating so much,2019-04-14 23:35:53 UTC
23,Buymecoffee is the best,2019-04-14 23:23:57 UTC
24,I want to be an entrepreneur,2019-04-15 00:40:29 UTC
25,How do I know I am in love?,2019-04-14 23:58:21 UTC
26,Nothing to do,2019-04-14 23:25:37 UTC
27,Motley Works is the worst,2019-04-14 23:34:42 UTC
28,I want to do a triathlon,2019-04-15 00:42:46 UTC
29,I want to work at Amazon,2019-04-15 04:11:25 UTC
30,I want travel to New Zealand,2019-04-15 00:52:27 UTC
31,What is Buymecoffee?,2019-04-14 23:22:00 UTC
32,I love ice cream!,2019-04-14 23:30:50 UTC
33,I just got a job in Seattle,2019-04-15 04:09:23 UTC
34,I want ice cream,2019-04-14 23:26:27 UTC
35,I want to be better,2019-04-15 04:07:18 UTC
36,Why does my foot smell?,2019-04-14 23:59:33 UTC
37,Why is pizza so amazing,2019-04-14 23:51:25 UTC
38,Why am I depressed?,2019-04-14 23:56:04 UTC
39,I am moving to Seattle,2019-04-15 04:08:08 UTC
40,I am addicted to ice cream!,2019-04-14 23:27:44 UTC
41,Should I go to Law School?,2019-04-14 23:49:31 UTC
42,Why am I still single?,2019-04-14 23:53:44 UTC
43,I want to lose 10 pounds,2019-04-15 04:00:42 UTC
44,I want to go to Thailand,2019-04-14 23:41:46 UTC
45,I love Japan,2019-04-15 00:50:38 UTC
46,I want to run a marathon,2019-04-15 00:41:45 UTC
47,I need something to do,2019-04-14 23:20:46 UTC
48,I need to find some cofounders,2019-04-15 00:39:34 UTC
49,I want to start a new business,2019-04-15 00:38:09 UTC
50,I want to sail around the world,2019-04-15 00:32:22 UTC
